epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,228.339,2.29398,1.23391,0.8323,0.7949,0.41584,0.52837,0.18511,2.28003,1.4371,0.79614,0.0011684,0.0011684,0.0011684
44,233.553,2.23368,1.11821,0.84303,0.79151,0.47525,0.61796,0.23244,1.88447,1.15088,0.79569,0.0011486,0.0011486,0.0011486
45,238.779,2.30514,1.23567,0.84474,0.83738,0.51485,0.63601,0.2319,2.26614,1.12625,0.79885,0.0011288,0.0011288,0.0011288
46,244.003,2.30389,1.21933,0.84683,0.80159,0.52475,0.65521,0.24758,2.1226,1.1741,0.79953,0.001109,0.001109,0.001109
47,249.273,2.2427,1.19068,0.83468,0.7157,0.51485,0.55184,0.20805,1.9675,1.0298,0.79074,0.0010892,0.0010892,0.0010892
48,254.485,2.20613,1.15941,0.83781,0.61255,0.46963,0.47705,0.17396,1.99617,1.05393,0.79281,0.0010694,0.0010694,0.0010694
49,259.68,2.34208,1.22851,0.85539,0.69767,0.53465,0.58321,0.19862,2.1364,1.13645,0.79286,0.0010496,0.0010496,0.0010496
50,264.889,2.34109,1.28149,0.84792,0.7775,0.50495,0.55695,0.17601,2.32429,1.11244,0.80491,0.0010298,0.0010298,0.0010298
51,270.086,2.40422,1.27978,0.85154,0.67508,0.40594,0.47344,0.16808,2.28393,1.14306,0.81084,0.00101,0.00101,0.00101
52,275.303,2.30079,1.1599,0.83429,0.74263,0.54284,0.60653,0.22563,2.09959,1.04563,0.80553,0.0009902,0.0009902,0.0009902
53,280.503,2.13738,1.06217,0.84314,0.72178,0.55446,0.59658,0.22545,2.02088,1.06306,0.79399,0.0009704,0.0009704,0.0009704
54,285.719,2.24667,1.12672,0.84197,0.64151,0.49505,0.56057,0.21603,1.78243,1.27995,0.7868,0.0009506,0.0009506,0.0009506
55,290.929,2.23165,1.18013,0.84001,0.82168,0.48515,0.63849,0.22468,2.11422,1.20142,0.79639,0.0009308,0.0009308,0.0009308
56,296.144,2.20282,1.10182,0.83701,0.81907,0.48515,0.65518,0.2708,1.86942,1.34002,0.78712,0.000911,0.000911,0.000911
57,301.372,2.22922,1.18573,0.83978,0.82406,0.51485,0.65603,0.22903,1.96854,1.18822,0.78447,0.0008912,0.0008912,0.0008912
58,306.581,2.10961,1.10325,0.85125,0.70025,0.49505,0.59378,0.21305,2.05746,1.22962,0.79302,0.0008714,0.0008714,0.0008714
59,311.782,2.19865,1.14761,0.82119,0.68509,0.58416,0.61656,0.2309,1.94444,1.16131,0.79574,0.0008516,0.0008516,0.0008516
60,316.995,2.20139,1.10779,0.8404,0.73121,0.53465,0.58483,0.17243,2.34948,1.20847,0.79418,0.0008318,0.0008318,0.0008318
61,322.193,2.17454,1.11618,0.82718,0.76028,0.62806,0.68848,0.22461,2.13138,0.98404,0.79516,0.000812,0.000812,0.000812
62,327.399,2.18003,1.04743,0.83521,0.85445,0.52312,0.68842,0.23704,2.11694,1.13777,0.79639,0.0007922,0.0007922,0.0007922
63,332.6,2.06178,1.0422,0.84594,0.80585,0.53425,0.63021,0.25194,2.14009,1.09943,0.79243,0.0007724,0.0007724,0.0007724
64,337.824,2.12352,1.01782,0.84269,0.7927,0.53465,0.67601,0.26155,1.9143,1.07047,0.78727,0.0007526,0.0007526,0.0007526
65,343.014,2.07839,1.0402,0.83434,0.82469,0.55893,0.65952,0.24476,2.04968,1.03136,0.78859,0.0007328,0.0007328,0.0007328
66,348.254,2.14034,1.05094,0.82448,0.81975,0.57426,0.66368,0.26155,1.9323,0.98198,0.79081,0.000713,0.000713,0.000713
67,353.481,2.08682,0.99612,0.82936,0.82918,0.57675,0.6833,0.245,2.01861,1.07855,0.78046,0.0006932,0.0006932,0.0006932
68,358.676,2.05237,1.02107,0.83143,0.79815,0.54815,0.64002,0.26889,1.74882,1.09425,0.78034,0.0006734,0.0006734,0.0006734
69,363.89,2.1069,0.97081,0.83687,0.74177,0.47525,0.55131,0.23167,1.90792,1.12905,0.78642,0.0006536,0.0006536,0.0006536
70,369.13,2.05625,1.0324,0.8228,0.75247,0.45545,0.57037,0.21615,2.11855,1.13679,0.79091,0.0006338,0.0006338,0.0006338
71,374.336,2.07005,1.03698,0.83827,0.77307,0.58416,0.63988,0.2365,1.98056,0.94569,0.78987,0.000614,0.000614,0.000614
72,379.567,2.08794,1.05129,0.84489,0.74404,0.57426,0.62693,0.25064,1.782,0.93314,0.78786,0.0005942,0.0005942,0.0005942
73,384.765,2.14512,1.0138,0.83573,0.79092,0.52437,0.63428,0.22802,2.04976,1.092,0.78664,0.0005744,0.0005744,0.0005744
74,389.982,2.06305,1.02472,0.84669,0.74685,0.55501,0.64116,0.2601,1.77934,0.97608,0.78569,0.0005546,0.0005546,0.0005546
75,395.191,2.16431,0.97283,0.83482,0.82664,0.45545,0.63511,0.25721,2.05155,1.09094,0.78504,0.0005348,0.0005348,0.0005348
76,400.407,2.02909,0.97689,0.81725,0.83182,0.58769,0.70204,0.28241,1.89503,0.9771,0.78318,0.000515,0.000515,0.000515
77,405.638,1.98378,0.97291,0.8221,0.84848,0.53465,0.68771,0.29502,1.77499,1.02138,0.77897,0.0004952,0.0004952,0.0004952
78,410.871,2.02105,0.98433,0.83011,0.82801,0.52435,0.66321,0.26761,1.79875,0.92942,0.77928,0.0004754,0.0004754,0.0004754
79,416.089,1.96727,0.92828,0.82044,0.71903,0.53212,0.66441,0.2896,1.7856,0.82727,0.7836,0.0004556,0.0004556,0.0004556
